city,station,datetime_local,pollutant,value
Barcelona,Eixample,2025-06-01 00:00:00,pm25,48.2
Barcelona,Eixample,2025-06-01 00:00:00,o3,62.3
Barcelona,Eixample,2025-06-01 01:00:00,pm25,52.6
Barcelona,Eixample,2025-06-01 01:00:00,o3,84.3
Barcelona,Eixample,2025-06-01 02:00:00,pm25,12.9
Barcelona,Eixample,2025-06-01 02:00:00,o3,107.9
Barcelona,Eixample,2025-06-01 03:00:00,pm25,47.6
Barcelona,Eixample,2025-06-01 03:00:00,o3,91.8
Barcelona,Eixample,2025-06-01 04:00:00,pm25,14.7
Barcelona,Eixample,2025-06-01 04:00:00,o3,63.3
Barcelona,Eixample,2025-06-01 05:00:00,pm25,27.3
Barcelona,Eixample,2025-06-01 05:00:00,o3,103.8
Barcelona,Eixample,2025-06-01 06:00:00,pm25,41.5
Barcelona,Eixample,2025-06-01 06:00:00,o3,94.9
Barcelona,Eixample,2025-06-01 07:00:00,pm25,31.1
Barcelona,Eixample,2025-06-01 07:00:00,o3,44.3
Barcelona,Eixample,2025-06-01 08:00:00,pm25,36.8
Barcelona,Eixample,2025-06-01 08:00:00,o3,30.4
Barcelona,Eixample,2025-06-01 09:00:00,pm25,51.0
Barcelona,Eixample,2025-06-01 09:00:00,o3,78.7
Barcelona,Eixample,2025-06-01 10:00:00,pm25,47.4
Barcelona,Eixample,2025-06-01 10:00:00,o3,55.1
Barcelona,Eixample,2025-06-01 11:00:00,pm25,58.5
Barcelona,Eixample,2025-06-01 11:00:00,o3,100.9
Barcelona,Eixample,2025-06-01 12:00:00,pm25,48.5
Barcelona,Eixample,2025-06-01 12:00:00,o3,41.5
Barcelona,Eixample,2025-06-01 13:00:00,pm25,32.3
Barcelona,Eixample,2025-06-01 13:00:00,o3,28.7
Barcelona,Eixample,2025-06-01 14:00:00,pm25,16.0
Barcelona,Eixample,2025-06-01 14:00:00,o3,83.1
Barcelona,Eixample,2025-06-01 15:00:00,pm25,46.7
Barcelona,Eixample,2025-06-01 15:00:00,o3,107.2
Barcelona,Eixample,2025-06-01 16:00:00,pm25,24.9
Barcelona,Eixample,2025-06-01 16:00:00,o3,56.5
Barcelona,Eixample,2025-06-01 17:00:00,pm25,32.4
Barcelona,Eixample,2025-06-01 17:00:00,o3,41.1
Barcelona,Eixample,2025-06-01 18:00:00,pm25,14.8
Barcelona,Eixample,2025-06-01 18:00:00,o3,65.4
Barcelona,Eixample,2025-06-01 19:00:00,pm25,19.8
Barcelona,Eixample,2025-06-01 19:00:00,o3,81.9
Barcelona,Eixample,2025-06-01 20:00:00,pm25,30.7
Barcelona,Eixample,2025-06-01 20:00:00,o3,95.8
Barcelona,Eixample,2025-06-01 21:00:00,pm25,44.4
Barcelona,Eixample,2025-06-01 21:00:00,o3,51.6
Barcelona,Eixample,2025-06-01 22:00:00,pm25,51.3
Barcelona,Eixample,2025-06-01 22:00:00,o3,93.4
Barcelona,Eixample,2025-06-01 23:00:00,pm25,28.1
Barcelona,Eixample,2025-06-01 23:00:00,o3,49.5
Barcelona,Eixample,2025-06-02 00:00:00,pm25,43.5
Barcelona,Eixample,2025-06-02 00:00:00,o3,36.9
Barcelona,Eixample,2025-06-02 01:00:00,pm25,18.4
Barcelona,Eixample,2025-06-02 01:00:00,o3,25.6
Barcelona,Eixample,2025-06-02 02:00:00,pm25,48.9
Barcelona,Eixample,2025-06-02 02:00:00,o3,81.5
Barcelona,Eixample,2025-06-02 03:00:00,pm25,44.7
Barcelona,Eixample,2025-06-02 03:00:00,o3,91.4
Barcelona,Eixample,2025-06-02 04:00:00,pm25,31.9
Barcelona,Eixample,2025-06-02 04:00:00,o3,73.3
Barcelona,Eixample,2025-06-02 05:00:00,pm25,15.3
Barcelona,Eixample,2025-06-02 05:00:00,o3,34.7
Barcelona,Eixample,2025-06-02 06:00:00,pm25,42.8
Barcelona,Eixample,2025-06-02 06:00:00,o3,65.0
Barcelona,Eixample,2025-06-02 07:00:00,pm25,37.4
Barcelona,Eixample,2025-06-02 07:00:00,o3,90.0
Barcelona,Eixample,2025-06-02 08:00:00,pm25,41.0
Barcelona,Eixample,2025-06-02 08:00:00,o3,72.1
Barcelona,Eixample,2025-06-02 09:00:00,pm25,37.1
Barcelona,Eixample,2025-06-02 09:00:00,o3,50.8
Barcelona,Eixample,2025-06-02 10:00:00,pm25,9.6
Barcelona,Eixample,2025-06-02 10:00:00,o3,62.1
Barcelona,Eixample,2025-06-02 11:00:00,pm25,19.2
Barcelona,Eixample,2025-06-02 11:00:00,o3,59.7
Barcelona,Eixample,2025-06-02 12:00:00,pm25,52.4
Barcelona,Eixample,2025-06-02 12:00:00,o3,44.9
Barcelona,Eixample,2025-06-02 13:00:00,pm25,11.0
Barcelona,Eixample,2025-06-02 13:00:00,o3,48.9
Barcelona,Eixample,2025-06-02 14:00:00,pm25,23.3
Barcelona,Eixample,2025-06-02 14:00:00,o3,81.3
Barcelona,Eixample,2025-06-02 15:00:00,pm25,37.0
Barcelona,Eixample,2025-06-02 15:00:00,o3,91.6
Barcelona,Eixample,2025-06-02 16:00:00,pm25,42.5
Barcelona,Eixample,2025-06-02 16:00:00,o3,59.5
Barcelona,Eixample,2025-06-02 17:00:00,pm25,50.3
Barcelona,Eixample,2025-06-02 17:00:00,o3,39.2
Barcelona,Eixample,2025-06-02 18:00:00,pm25,9.2
Barcelona,Eixample,2025-06-02 18:00:00,o3,32.7
Barcelona,Eixample,2025-06-02 19:00:00,pm25,45.6
Barcelona,Eixample,2025-06-02 19:00:00,o3,64.3
Barcelona,Eixample,2025-06-02 20:00:00,pm25,16.4
Barcelona,Eixample,2025-06-02 20:00:00,o3,67.6
Barcelona,Eixample,2025-06-02 21:00:00,pm25,15.9
Barcelona,Eixample,2025-06-02 21:00:00,o3,84.2
Barcelona,Eixample,2025-06-02 22:00:00,pm25,31.2
Barcelona,Eixample,2025-06-02 22:00:00,o3,57.4
Barcelona,Eixample,2025-06-02 23:00:00,pm25,23.7
Barcelona,Eixample,2025-06-02 23:00:00,o3,78.6
Barcelona,Eixample,2025-06-03 00:00:00,pm25,26.8
Barcelona,Eixample,2025-06-03 00:00:00,o3,32.5
Barcelona,Eixample,2025-06-03 01:00:00,pm25,14.1
Barcelona,Eixample,2025-06-03 01:00:00,o3,106.8
Barcelona,Eixample,2025-06-03 02:00:00,pm25,55.2
Barcelona,Eixample,2025-06-03 02:00:00,o3,84.5
Barcelona,Eixample,2025-06-03 03:00:00,pm25,21.8
Barcelona,Eixample,2025-06-03 03:00:00,o3,107.4
Barcelona,Eixample,2025-06-03 04:00:00,pm25,48.5
Barcelona,Eixample,2025-06-03 04:00:00,o3,85.9
Barcelona,Eixample,2025-06-03 05:00:00,pm25,31.4
Barcelona,Eixample,2025-06-03 05:00:00,o3,48.1
Barcelona,Eixample,2025-06-03 06:00:00,pm25,13.0
Barcelona,Eixample,2025-06-03 06:00:00,o3,101.7
Barcelona,Eixample,2025-06-03 07:00:00,pm25,31.7
Barcelona,Eixample,2025-06-03 07:00:00,o3,42.2
Barcelona,Eixample,2025-06-03 08:00:00,pm25,23.9
Barcelona,Eixample,2025-06-03 08:00:00,o3,74.2
Barcelona,Eixample,2025-06-03 09:00:00,pm25,17.2
Barcelona,Eixample,2025-06-03 09:00:00,o3,97.8
Barcelona,Eixample,2025-06-03 10:00:00,pm25,47.4
Barcelona,Eixample,2025-06-03 10:00:00,o3,86.2
Barcelona,Eixample,2025-06-03 11:00:00,pm25,30.5
Barcelona,Eixample,2025-06-03 11:00:00,o3,78.3
Barcelona,Eixample,2025-06-03 12:00:00,pm25,38.4
Barcelona,Eixample,2025-06-03 12:00:00,o3,80.2
Barcelona,Eixample,2025-06-03 13:00:00,pm25,12.4
Barcelona,Eixample,2025-06-03 13:00:00,o3,60.3
Barcelona,Eixample,2025-06-03 14:00:00,pm25,10.2
Barcelona,Eixample,2025-06-03 14:00:00,o3,67.0
Barcelona,Eixample,2025-06-03 15:00:00,pm25,25.2
Barcelona,Eixample,2025-06-03 15:00:00,o3,37.3
Barcelona,Eixample,2025-06-03 16:00:00,pm25,13.4
Barcelona,Eixample,2025-06-03 16:00:00,o3,74.9
Barcelona,Eixample,2025-06-03 17:00:00,pm25,16.9
Barcelona,Eixample,2025-06-03 17:00:00,o3,103.6
Barcelona,Eixample,2025-06-03 18:00:00,pm25,38.2
Barcelona,Eixample,2025-06-03 18:00:00,o3,54.5
Barcelona,Eixample,2025-06-03 19:00:00,pm25,38.7
Barcelona,Eixample,2025-06-03 19:00:00,o3,26.9
Barcelona,Eixample,2025-06-03 20:00:00,pm25,57.8
Barcelona,Eixample,2025-06-03 20:00:00,o3,66.0
Barcelona,Eixample,2025-06-03 21:00:00,pm25,48.7
Barcelona,Eixample,2025-06-03 21:00:00,o3,32.0
Barcelona,Eixample,2025-06-03 22:00:00,pm25,33.3
Barcelona,Eixample,2025-06-03 22:00:00,o3,66.7
Barcelona,Eixample,2025-06-03 23:00:00,pm25,56.8
Barcelona,Eixample,2025-06-03 23:00:00,o3,73.6
Barcelona,Eixample,2025-06-04 00:00:00,pm25,32.6
Barcelona,Eixample,2025-06-04 00:00:00,o3,47.7
Barcelona,Eixample,2025-06-04 01:00:00,pm25,25.2
Barcelona,Eixample,2025-06-04 01:00:00,o3,69.3
Barcelona,Eixample,2025-06-04 02:00:00,pm25,30.8
Barcelona,Eixample,2025-06-04 02:00:00,o3,26.8
Barcelona,Eixample,2025-06-04 03:00:00,pm25,51.0
Barcelona,Eixample,2025-06-04 03:00:00,o3,101.2
Barcelona,Eixample,2025-06-04 04:00:00,pm25,15.3
Barcelona,Eixample,2025-06-04 04:00:00,o3,72.1
Barcelona,Eixample,2025-06-04 05:00:00,pm25,13.6
Barcelona,Eixample,2025-06-04 05:00:00,o3,82.1
Barcelona,Eixample,2025-06-04 06:00:00,pm25,22.6
Barcelona,Eixample,2025-06-04 06:00:00,o3,81.1
Barcelona,Eixample,2025-06-04 07:00:00,pm25,45.8
Barcelona,Eixample,2025-06-04 07:00:00,o3,90.3
Barcelona,Eixample,2025-06-04 08:00:00,pm25,13.6
Barcelona,Eixample,2025-06-04 08:00:00,o3,102.9
Barcelona,Eixample,2025-06-04 09:00:00,pm25,20.0
Barcelona,Eixample,2025-06-04 09:00:00,o3,28.2
Barcelona,Eixample,2025-06-04 10:00:00,pm25,36.9
Barcelona,Eixample,2025-06-04 10:00:00,o3,56.5
Barcelona,Eixample,2025-06-04 11:00:00,pm25,51.1
Barcelona,Eixample,2025-06-04 11:00:00,o3,93.7
Barcelona,Eixample,2025-06-04 12:00:00,pm25,24.5
Barcelona,Eixample,2025-06-04 12:00:00,o3,106.0
Barcelona,Eixample,2025-06-04 13:00:00,pm25,23.1
